system,objective,threshold,n_children_test,n_clips_test,f1_child_ci_low,f1_child_ci_high,balanced_acc_child_ci_low,balanced_acc_child_ci_high,mcc_child_ci_low,mcc_child_ci_high,auroc_child_ci_low,auroc_child_ci_high,auprc_child_ci_low,auprc_child_ci_high
pyannote/babar_age_stratified/12_16m/12_16m,youden,0.2519066595317087,92,234,0.7896473147998412,0.8790228526398739,0.7408925503387048,0.8462008020536582,0.4469539676233048,0.6560810432308573,0.7618642446824289,0.8791856528678819,0.8484141679279132,0.9340770914085551
pyannote/babar_age_stratified/34_38m/34_38m,f1,0.154916113822656,88,207,0.8279873013321546,0.9063584732769022,0.7068087302200305,0.8490512229350442,0.3319136378043058,0.593388393757192,0.7554781882632572,0.8925880860257479,0.9171889473778865,0.9720853098094127
pyannote/babar_age_stratified/34_38m/34_38m,balanced_acc,0.154916113822656,88,207,0.8279873013321546,0.9063584732769022,0.7068087302200305,0.8490512229350442,0.3319136378043058,0.593388393757192,0.7554781882632572,0.8925880860257479,0.9171889473778865,0.9720853098094127
pyannote/babar_age_stratified/34_38m/34_38m,youden,0.154916113822656,88,207,0.8279873013321546,0.9063584732769022,0.7068087302200305,0.8490512229350442,0.3319136378043058,0.593388393757192,0.7554781882632572,0.8925880860257479,0.9171889473778865,0.9720853098094127
pyannote/babar_augmented/12_16m_ratio1.0,f1,0.0374902375111859,92,234,0.8153310104529616,0.9046224783861672,0.7313646691612824,0.8524712515714509,0.449578717170197,0.6872312103655707,0.7481239886034021,0.8711498383449026,0.78559911550781,0.9182691185012638
pyannote/babar_augmented/12_16m_ratio1.0,balanced_acc,0.0374902375111859,92,234,0.8153310104529616,0.9046224783861672,0.7313646691612824,0.8524712515714509,0.449578717170197,0.6872312103655707,0.7481239886034021,0.8711498383449026,0.78559911550781,0.9182691185012638
pyannote/babar_augmented/12_16m_ratio1.0,youden,0.0374902375111859,92,234,0.8153310104529616,0.9046224783861672,0.7313646691612824,0.8524712515714509,0.449578717170197,0.6872312103655707,0.7481239886034021,0.8711498383449026,0.78559911550781,0.9182691185012638
pyannote/babar_augmented/34_38m_ratio1.0,f1,0.0240554824918732,88,207,0.8343958310715449,0.9159467040673211,0.7212608334869998,0.8679327077532663,0.35933325444259623,0.6305526998448914,0.6431188545335099,0.8500770332600337,0.8231499903155128,0.948284080857524
pyannote/babar_augmented/34_38m_ratio1.0,balanced_acc,0.0240554824918732,88,207,0.8343958310715449,0.9159467040673211,0.7212608334869998,0.8679327077532663,0.35933325444259623,0.6305526998448914,0.6431188545335099,0.8500770332600337,0.8231499903155128,0.948284080857524
pyannote/babar_augmented/34_38m_ratio1.0,youden,0.0240554824918732,88,207,0.8343958310715449,0.9159467040673211,0.7212608334869998,0.8679327077532663,0.35933325444259623,0.6305526998448914,0.6431188545335099,0.8500770332600337,0.8231499903155128,0.948284080857524
